"States","year","crimeRate","recidivismRate","decriminalizedMarijuana","legalizedMedicinalMarijuana","legalizedRecreationalMarijuana","population","alcoholism","medianHouseholdIncome","unemploymentRate","Percent of Population Male","Percent of Population Female","Percent of Population with High School Diploma","Percent of Population with a Bachelors Degree or more","Percent population White","Percent population Black or African American","Percent population Hispanic","Percent of Population Asian","Percent of Population American Indian/Alaska Native","Percent of Population Native Hawaiian or other Pacific Islander","Percent Multiple Races","Percent of Population 0-18","Percent of Population 19-25","Percent of Population 26-34","Percent of Population 35-54","Percent of Population 55-64","Percent of Population 65+"
"Alaska",2020,3098.37271834542,63.2,"yes","Yes","Yes",731158,18.2,74476,11.9,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2019,3767.56910754182,62,"yes","yes","yes",733603,18.1,75500,5.7,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2018,4203.28672536758,61.58,"yes","yes","yes",735139,22.1,68734,6.2,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2017,4398.70449021744,60.61,"yes","yes","yes",739786,20.5,72231,6.6,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2016,4159.28320400474,60.04,"yes","yes","yes",741522,22.7,75723,6.5,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2015,3551.1292393071,63.17,"yes","yes","yes",737709,22,75112,6.3,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2014,3394.36073189462,66.5,"no","yes","no",737046,21.3,67629,6.9,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2013,3515.72513865548,66,"no","yes","no",737259,18.4,61137,7,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2012,3347.77018431974,66,"no","yes","no",730307,NA,NA,NA,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2011,3247.86560937198,NA,"no","yes","no",723860,19.1,57431,7.6,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2010,3472.11914650506,NA,"no","yes","no",714146,16.9,57848,8,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2009,3578.9500811055,NA,"No","Yes","No",698473,17.6,61604,8,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2008,3584.18343185782,NA,"No","Yes","No",686293,18.3,63989,6.7,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2007,4040.65675852039,50.4,"No","Yes","No",683478,NA,NA,NA,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alabama",2020,2590.31130956783,28.74,"no","no","no",4921532,13.5,52035,13.7,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2019,3127.46729041466,27.95,"no","no","no",4907965,13.8,51700,3.6,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2018,3360.87809331255,29.16,"no","no","no",4887681,13.7,49936,4,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2017,3471.56582812321,28.74,"no","no","no",4875120,14.1,51113,5.2,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2016,3479.79496126463,27.95,"no","no","no",4860545,12.7,47221,6,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2015,3455.83683139759,28.13,"no","no","no",4853875,13.1,44509,6.1,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2014,3607.08161152655,31,"no","no","no",4846411,12.4,42278,7.1,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2013,3778.8405286227,31.9,"no","no","no",4833996,13.4,41381,7.6,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2012,3955.78396223125,32.6,"no","no","no",4817528,NA,NA,NA,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
